Model,Maint. Type F1,Maint. Type Acc.,Issue Cat. F1,Issue Cat. Acc.
gemini-2.5-flash,0.6606930409257034,0.7,0.8195104226909165,0.8368421052631579
gemini-2.5-pro,0.7339489348188212,0.7680412371134021,0.8568627988686769,0.8788659793814433
gemma3_12b,0.5524215561003042,0.6288659793814433,0.7263584541476064,0.7474226804123711
gpt-5-mini,0.6517194044949806,0.7190721649484536,0.8246352671278306,0.845360824742268
gpt-5-nano,0.6793025609494256,0.729381443298969,0.7881365391793871,0.7963917525773195
llama3.1_8b,0.6027989088851783,0.6597938144329897,0.6403825942628197,0.6701030927835051
mistral_7b,0.6196992803293742,0.6572164948453608,0.6228558650852235,0.6493506493506493
o3,0.766376458000428,0.7963917525773195,0.8900588519259116,0.8917525773195877
o4-mini,0.669266672803657,0.7164948453608248,0.8194665059824454,0.8376288659793815
phi4_14b,0.5587134713533279,0.6262886597938144,0.7071210239590086,0.729381443298969
