Model,High,Low,Medium
gemini-2.5-flash,0.6681976201748109,,0.4393939393939394
gemini-2.5-pro,0.7405589515785779,,0.48
gemma3_12b,0.5417407316206033,,0.640726461038961
gpt-5-mini,0.6326656481841787,,0.7232566264145212
gpt-5-nano,0.679254801874175,,0.6466533466533466
llama3.1_8b,0.6035581947686923,,0.5555555555555556
mistral_7b,0.6306445731737685,,0.4764030612244898
o3,0.8520821378472877,0.3333333333333333,0.6719099296061345
o4-mini,0.6730100686863092,0.0,0.6487999386550111
phi4_14b,0.5595466486123519,0.0,0.5102040816326531
