Model,High,Low,Medium
gemini-2.5-flash,0.8218548465510687,,0.7363636363636363
gemini-2.5-pro,0.869972100233078,,0.49000000000000005
gemma3_12b,0.755957211871341,,0.40004734848484846
gpt-5-mini,0.8646646669195488,,0.6161935286935287
gpt-5-nano,0.8140971015864819,,0.623046398046398
llama3.1_8b,0.6437579770887703,,0.5
mistral_7b,0.6361252464497809,,0.4404761904761905
o3,0.9579065950264107,0.6666666666666666,0.8158364069105758
o4-mini,0.842711193001408,0.0,0.6074074074074075
phi4_14b,0.7174992953423383,1.0,0.21428571428571427
