Model,Agreement with Consensus (Maint.),Agreement with Consensus (Issue)
gemini-2.5-flash,0.8427835051546392,0.9252577319587629
gemini-2.5-pro,0.8608247422680413,0.9123711340206185
gemma3_12b,0.8608247422680413,0.865979381443299
gpt-5,0.7396907216494846,0.8505154639175257
gpt-5-mini,0.9097938144329897,0.9201030927835051
gpt-5-nano,0.8969072164948454,0.845360824742268
llama3.1_8b,0.884020618556701,0.7731958762886598
mistral_7b,0.7714285714285715,0.7532467532467533
o3,0.845360824742268,0.8814432989690721
o4-mini,0.8427835051546392,0.8969072164948454
phi4_14b,0.845360824742268,0.8479381443298969
